Variable,Tipo
PERIODO,col_integer()
ESTU_CONSECUTIVO,col_character()
ESTU_EDAD,col_integer()
ESTU_TIPODOCUMENTO,col_character()
ESTU_PAIS_RESIDE,col_character()
ESTU_GENERO,col_character()
ESTU_NACIMIENTO_DIA,col_integer()
ESTU_NACIMIENTO_MES,col_integer()
ESTU_NACIMIENTO_ANNO,col_integer()
ESTU_ETNIA,col_integer()
ESTU_DISC_BAJAVISION,col_character()
ESTU_DISC_SORDOCEGUERA,col_character()
ESTU_DISC_COGNITIVA,col_character()
ESTU_DISC_INVIDENTE,col_character()
ESTU_DISC_MOTRIZ,col_character()
ESTU_DISC_SORDOINTERPRETE,col_character()
ESTU_DISC_SORDONOINTERPRETE,col_character()
ESTU_CODIGO_RESIDE_MCPIO,col_integer()
ESTU_RESIDE_MCPIO,col_character()
ESTU_RESIDE_DEPT,col_character()
ESTU_ZONA_RESIDE,col_integer()
ECON_AREA_VIVE,col_integer()
COLE_CODIGO_COLEGIO,col_integer()
CODIGO_DANE,col_character()
COLE_INST_NOMBRE,col_character()
COLE_CALENDARIO_COLEGIO,col_character()
COLE_GENERO_POBLACION,col_character()
COLE_NATURALEZA,col_character()
COLE_ES_BILINGUE,col_integer()
COLE_INST_JORNADA,col_character()
COLE_CARACTER_COLEGIO,col_character()
COLE_INST_VLR_PENSION,col_integer()
ESTU_VECES_ESTDO,col_character()
ESTU_EXAM_COD_MPIOPRESENTACION,col_integer()
ESTU_EXAM_MPIO_PRESENTACION,col_character()
ESTU_EXAM_DEPT_PRESENTACION,col_character()
ESTU_EXAM_NOMBREEXAMEN,col_character()
FAMI_COD_EDUCA_PADRE,col_integer()
FAMI_COD_EDUCA_MADRE,col_integer()
FAMI_COD_OCUP_PADRE,col_integer()
FAMI_COD_OCUP_MADRE,col_integer()
ESTU_ESTRATO,col_integer()
ECON_CUARTOS,col_integer()
FAMI_NIVEL_SISBEN,col_integer()
ECON_MATERIAL_PISOS,col_integer()
ECON_PERSONAS_HOGAR,col_integer()
ECON_SN_TELEFONIA,col_integer()
ECON_SN_CELULAR,col_integer()
ECON_SN_INTERNET,col_integer()
ECON_SN_SERVICIO_TV,col_integer()
ECON_SN_COMPUTADOR,col_integer()
ECON_SN_LAVADORA,col_integer()
ECON_SN_NEVERA,col_integer()
ECON_SN_HORNO,col_integer()
ECON_SN_DVD,col_integer()
ECON_SN_MICROHONDAS,col_integer()
ECON_SN_AUTOMOVIL,col_integer()
FAMI_ING_FMILIAR_MENSUAL,col_integer()
ESTU_TRABAJA,col_integer()
ESTU_HORAS_TRABAJO,col_character()
LENGUAJE_PUNT,col_euro_double()
MATEMATICAS_PUNT,col_euro_double()
CIENCIAS_SOCIALES_PUNT,col_euro_double()
FILOSOFIA_PUNT,col_euro_double()
BIOLOGIA_PUNT,col_euro_double()
QUIMICA_PUNT,col_euro_double()
FISICA_PUNT,col_euro_double()
INGLES_PUNT,col_euro_double()
INGLES_DESEM,col_character()
COMP_FLEX_NOMBRE,col_character()
COMP_FLEX_PUNT,col_euro_double()
COMP_FLEX_DESEM,col_character()
ESTU_PUESTO,col_integer()
