Variable,Tipo
FTP_CONSECUTIVO,col_character()
PERIODO,col_integer()
ESTU_TIPODOCUMENTO,col_character()
ESTU_PAIS_RESIDE,col_character()
ESTU_GENERO,col_character()
ESTU_NACIMIENTO_DIA,col_integer()
ESTU_NACIMIENTO_MES,col_integer()
ESTU_NACIMIENTO_ANNO,col_integer()
ESTU_EDAD,col_integer()
ESTU_DISC_BAJAVISION,col_character()
ESTU_DISC_SORDOCEGUERA,col_character()
ESTU_DISC_COGNITIVA,col_character()
ESTU_DISC_INVIDENTE,col_character()
ESTU_DISC_MOTRIZ,col_character()
ESTU_DISC_SORDOINTERPRETE,col_character()
ESTU_DISC_SORDONOINTERPRETE,col_character()
ESTU_ETNIA,col_character()
ESTU_CODIGO_RESIDE_MCPIO,col_integer()
ESTU_RESIDE_MPIO_PRESENTACION,col_character()
ESTU_RESIDE_DEPT_PRESENTACION,col_character()
ESTU_ZONA_RESIDE,col_integer()
ECON_AREA_VIVE,col_integer()
FAMI_COD_EDUCA_PADRE,col_integer()
FAMI_COD_EDUCA_MADRE,col_integer()
FAMI_COD_OCUP_PADRE,col_integer()
FAMI_COD_OCUP_MADRE,col_integer()
INFA_NIVELHERMANO,col_integer()
ESTU_ESTRATO,col_integer()
FAMI_NIVEL_SISBEN,col_integer()
ECON_PERSONAS_HOGAR,col_integer()
ECON_CUARTOS,col_integer()
ECON_DORMINTORIOS,col_integer()
ECON_MATERIAL_PISOS,col_integer()
INFA_TIENESANITARIO,col_integer()
INFA_CONEXIONSANITARIO,col_integer()
INFA_TIENEELECTRICIDAD,col_integer()
INFA_TIENEACUEDUCTO,col_integer()
INFA_TIENEALCANTARILLADO,col_integer()
ECON_SN_TELEFONIA,col_integer()
INFA_TIENEASEO,col_integer()
ECON_SN_INTERNET,col_integer()
ECON_SN_SERVICIO_TV,col_integer()
ECON_SN_COMPUTADOR,col_integer()
INFA_TIENETELEVISOR,col_integer()
ECON_SN_DVD,col_integer()
ECON_SN_AUTOMOVIL,col_integer()
ECON_SN_LAVADORA,col_integer()
ECON_SN_HORNO,col_integer()
ECON_SN_MICROHONDAS,col_integer()
ECON_SN_NEVERA,col_integer()
INFA_TIENEESTUFA,col_integer()
FAMI_ING_FMILIAR_MENSUAL,col_integer()
ESTU_TRABAJA,col_integer()
ESTU_HORAS_TRABAJO,col_integer()
COLE_INST_VLR_PENSION,col_integer()
INAC_ANOTERMINOBACHILLER,col_integer()
INAC_TERMINOBACHILLERATO,col_integer()
INAC_COLEGIOTERMINO,col_integer()
COLE_CODIGO_COLEGIO,col_integer()
CODIGO_DANE,col_character()
COLE_INST_NOMBRE,col_character()
COLE_CALENDARIO_COLEGIO,col_character()
COLE_GENERO_POBLACION,col_character()
COLE_NATURALEZA,col_character()
COLE_ES_BILINGUE,col_integer()
COLE_INST_JORNADA,col_character()
PLAN_CODIGODANEINSTITUCION,col_character()
COLE_CARACTER_COLEGIO,col_character()
ESTU_VECES_ESTDO,col_integer()
ESTU_CARRDESEADA_TIPO,col_integer()
ESTU_CARRDESEADA_NUCLEO,col_integer()
ESTU_IES_COD_DESEADA,col_integer()
ESTU_IES_DESEADA_NOMBRE,col_character()
ESTU_IES_COD_MPIO_DESEADA,col_integer()
ESTU_IES_MPIO_DESEADA,col_character()
ESTU_IES_DEPT_DESEADA,col_character()
ESTU_RAZONINSTITUTO,col_integer()
ESTU_CARRDESEADA_COD,col_integer()
ESTU_CARRDESEADA_RAZON,col_integer()
ESTU_EXAM_COD_MPIOPRESENTACION,col_integer()
ESTU_EXAM_MPIO_PRESENTACION,col_character()
ESTU_EXAM_DEPT_PRESENTACION,col_character()
ESTU_EXAM_NOMBREEXAMEN,col_character()
LENGUAJE_PUNT,col_euro_double()
MATEMATICAS_PUNT,col_euro_double()
CIENCIAS_SOCIALES_PUNT,col_euro_double()
FILOSOFIA_PUNT,col_euro_double()
BIOLOGIA_PUNT,col_euro_double()
QUIMICA_PUNT,col_euro_double()
FISICA_PUNT,col_euro_double()
INGLES_PUNT,col_euro_double()
INGLES_DESEM,col_character()
PROFUNDIZACION_NOMBRE,col_character()
PROFUNDIZACION_PUNT,col_euro_double()
PROFUNDIZACION_DESEM,col_character()
INTERDISCIPLINAR_NOMBRE,col_character()
INTERDISCIPLINAR_PUNT,col_euro_double()
ESTU_PUESTO,col_integer()
